Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC1_VDPStop_s
Temperature(C)= 23.3	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.100E-3
-950.000E-9	-4.060E-3
-900.000E-9	-3.980E-3
-850.000E-9	-3.840E-3
-800.000E-9	-3.620E-3
-750.000E-9	-3.420E-3
-700.000E-9	-3.220E-3
-650.000E-9	-3.060E-3
-600.000E-9	-2.890E-3
-550.000E-9	-2.660E-3
-500.000E-9	-2.420E-3
-450.000E-9	-2.180E-3
-400.000E-9	-1.950E-3
-350.000E-9	-1.750E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.400E-3
-200.000E-9	-1.200E-3
-150.000E-9	-970.000E-6
-100.000E-9	-720.000E-6
-50.000E-9	-490.000E-6
0.000E+0	-260.000E-6
50.000E-9	-60.000E-6
100.000E-9	120.000E-6
150.000E-9	310.000E-6
200.000E-9	520.000E-6
250.000E-9	740.000E-6
300.000E-9	940.000E-6
350.000E-9	1.150E-3
400.000E-9	1.370E-3
450.000E-9	1.620E-3
500.000E-9	1.850E-3
550.000E-9	2.080E-3
600.000E-9	2.290E-3
650.000E-9	2.480E-3
700.000E-9	2.700E-3
750.000E-9	2.790E-3
800.000E-9	3.010E-3
850.000E-9	3.150E-3
900.000E-9	3.430E-3
950.000E-9	3.700E-3
1.000E-6	3.860E-3
